datetime,price_eur_mwh
2025-01-01T00:00:00Z,10.27
2025-01-01T01:00:00Z,8.38
2025-01-01T02:00:00Z,6.61
2025-01-01T03:00:00Z,2.29
2025-01-01T04:00:00Z,3.01
2025-01-01T05:00:00Z,3.52
2025-01-01T06:00:00Z,2.55
2025-01-01T07:00:00Z,4.24
2025-01-01T08:00:00Z,7.5
2025-01-01T09:00:00Z,15.91
2025-01-01T10:00:00Z,20.59
2025-01-01T11:00:00Z,29.94
2025-01-01T12:00:00Z,37.14
2025-01-01T13:00:00Z,26.32
2025-01-01T14:00:00Z,22.1
2025-01-01T15:00:00Z,19.28
2025-01-01T16:00:00Z,41.92
2025-01-01T17:00:00Z,57.95
2025-01-01T18:00:00Z,59.23
2025-01-01T19:00:00Z,45.86
2025-01-01T20:00:00Z,38.46
2025-01-01T21:00:00Z,32.07
2025-01-01T22:00:00Z,25.49
2025-01-31T23:00:00Z,137.06
2025-02-01T00:00:00Z,129.53
2025-02-01T01:00:00Z,124.32
2025-02-01T02:00:00Z,118.5
2025-02-01T03:00:00Z,114.8
2025-02-01T04:00:00Z,116.96
2025-02-01T05:00:00Z,126.34
2025-02-01T06:00:00Z,144.74
2025-02-01T07:00:00Z,153.46
2025-02-01T08:00:00Z,142.44
2025-02-01T09:00:00Z,128.4
2025-02-01T10:00:00Z,120.08
2025-02-01T11:00:00Z,110.29
2025-02-01T12:00:00Z,103.4
2025-02-01T13:00:00Z,113.7
2025-02-01T14:00:00Z,125
2025-02-01T15:00:00Z,144.41
2025-02-01T16:00:00Z,149.13
2025-02-01T17:00:00Z,161.18
2025-02-01T18:00:00Z,162.98
2025-02-01T19:00:00Z,156.6
2025-02-01T20:00:00Z,145.24
2025-02-01T21:00:00Z,141.73
2025-02-01T22:00:00Z,131.74
2025-02-01T23:00:00Z,133.26
2025-02-02T00:00:00Z,126.91
2025-02-02T01:00:00Z,122.99
2025-02-02T02:00:00Z,120.66
2025-02-02T03:00:00Z,122.34
2025-02-02T04:00:00Z,123.41
2025-02-02T05:00:00Z,128.09
2025-02-02T06:00:00Z,135.9
2025-02-02T07:00:00Z,137.3
2025-02-02T08:00:00Z,137.7
2025-02-02T09:00:00Z,130.04
2025-02-02T10:00:00Z,129.33
2025-02-02T11:00:00Z,122.24
2025-02-02T12:00:00Z,111.88
2025-02-02T13:00:00Z,114.78
2025-02-02T14:00:00Z,121.22
2025-02-02T15:00:00Z,137.57
2025-02-02T16:00:00Z,155.43
2025-02-02T17:00:00Z,168.07
2025-02-02T18:00:00Z,173.95
2025-02-02T19:00:00Z,165.5
2025-02-02T20:00:00Z,155.77
2025-02-02T21:00:00Z,148.44
2025-02-02T22:00:00Z,133.24
2025-02-02T23:00:00Z,129.54
2025-02-03T00:00:00Z,126.63
2025-02-03T01:00:00Z,124.72
2025-02-03T02:00:00Z,120.04
2025-02-03T03:00:00Z,123.24
2025-02-03T04:00:00Z,127.77
2025-02-03T05:00:00Z,159.18
2025-02-03T06:00:00Z,207.88
2025-02-03T07:00:00Z,243.23
2025-02-03T08:00:00Z,178.04
2025-02-03T09:00:00Z,149.95
2025-02-03T10:00:00Z,127.15
2025-02-03T11:00:00Z,117.27
2025-02-03T12:00:00Z,115.09
2025-02-03T13:00:00Z,121.76
2025-02-03T14:00:00Z,134.25
2025-02-03T15:00:00Z,146.31
2025-02-03T16:00:00Z,186.55
2025-02-03T17:00:00Z,200.73
2025-02-03T18:00:00Z,201.1
2025-02-03T19:00:00Z,167.74
2025-02-03T20:00:00Z,153
2025-02-03T21:00:00Z,144
2025-02-03T22:00:00Z,135.81
2025-02-03T23:00:00Z,132.4
2025-02-04T00:00:00Z,125.54
2025-02-04T01:00:00Z,123.18
2025-02-04T02:00:00Z,123.99
2025-02-04T03:00:00Z,123.25
2025-02-04T04:00:00Z,127.63
2025-02-04T05:00:00Z,153.26
2025-02-04T06:00:00Z,181.29
2025-02-04T07:00:00Z,211.99
2025-02-04T08:00:00Z,163.31
2025-02-04T09:00:00Z,136.53
2025-02-04T10:00:00Z,127.95
2025-02-04T11:00:00Z,123.43
2025-02-04T12:00:00Z,113.27
2025-02-04T13:00:00Z,120.09
2025-02-04T14:00:00Z,122.47
2025-02-04T15:00:00Z,121.28
2025-02-04T16:00:00Z,140.65
2025-02-04T17:00:00Z,175
2025-02-04T18:00:00Z,172.52
2025-02-04T19:00:00Z,151.29
2025-02-04T20:00:00Z,132.76
2025-02-04T21:00:00Z,142.43
2025-02-04T22:00:00Z,138.99
2025-02-04T23:00:00Z,131.22
2025-02-05T00:00:00Z,121.25
2025-02-05T01:00:00Z,117.93
2025-02-05T02:00:00Z,117.03
2025-02-05T03:00:00Z,117.73
2025-02-05T04:00:00Z,123.17
2025-02-05T05:00:00Z,139.96
2025-02-05T06:00:00Z,168.87
2025-02-05T07:00:00Z,180.81
2025-02-05T08:00:00Z,159.33
2025-02-05T09:00:00Z,145.67
2025-02-05T10:00:00Z,140.6
2025-02-05T11:00:00Z,131.48
2025-02-05T12:00:00Z,126
2025-02-05T13:00:00Z,128.85
2025-02-05T14:00:00Z,144.12
2025-02-05T15:00:00Z,153.77
2025-02-05T16:00:00Z,175.23
2025-02-05T17:00:00Z,189.9
2025-02-05T18:00:00Z,189.63
2025-02-05T19:00:00Z,170
2025-02-05T20:00:00Z,155.42
2025-02-05T21:00:00Z,143.7
2025-02-05T22:00:00Z,137.73
2025-02-05T23:00:00Z,133.67
2025-02-06T00:00:00Z,131.92
2025-02-06T01:00:00Z,126.6
2025-02-06T02:00:00Z,125.01
2025-02-06T04:00:00Z,128.31
2025-02-06T05:00:00Z,142.42
2025-02-06T06:00:00Z,180.09
2025-02-06T07:00:00Z,213.41
2025-02-06T08:00:00Z,178.06
2025-02-06T09:00:00Z,158.06
2025-02-06T10:00:00Z,136.42
2025-02-06T11:00:00Z,128.51
2025-02-06T12:00:00Z,121.4
2025-02-06T13:00:00Z,132.91
2025-02-06T14:00:00Z,128.8
2025-02-06T15:00:00Z,127.82
2025-02-06T16:00:00Z,152.23
2025-02-06T17:00:00Z,170.56
2025-02-06T18:00:00Z,163.21
2025-02-06T19:00:00Z,142.86
2025-02-06T20:00:00Z,133.03
2025-02-06T21:00:00Z,134.99
2025-02-06T22:00:00Z,121.95
2025-02-06T23:00:00Z,126.05
2025-02-07T00:00:00Z,112.7
2025-02-07T01:00:00Z,108.82
2025-02-07T02:00:00Z,105
2025-02-07T03:00:00Z,105.62
2025-02-07T04:00:00Z,106.21
2025-02-07T05:00:00Z,115.84
2025-02-07T06:00:00Z,143.53
2025-02-07T07:00:00Z,164.24
2025-02-07T08:00:00Z,150.36
2025-02-07T09:00:00Z,139.11
2025-02-07T10:00:00Z,132.98
2025-02-07T11:00:00Z,130.49
2025-02-07T12:00:00Z,120.2
2025-02-07T13:00:00Z,126.57
2025-02-07T14:00:00Z,121.89
2025-02-07T15:00:00Z,128.72
2025-02-07T16:00:00Z,144.05
2025-02-07T17:00:00Z,150.01
2025-02-07T18:00:00Z,153.34
2025-02-07T19:00:00Z,154.72
2025-02-07T20:00:00Z,153.28
2025-02-07T21:00:00Z,155.23
2025-02-07T22:00:00Z,133.65
2025-02-07T23:00:00Z,124.26
2025-02-08T00:00:00Z,107.17
2025-02-08T01:00:00Z,91.87
2025-02-08T02:00:00Z,99.33
2025-02-08T03:00:00Z,89.69
2025-02-08T04:00:00Z,90.99
2025-02-08T05:00:00Z,98.7
2025-02-08T06:00:00Z,120.46
2025-02-08T07:00:00Z,124.9
2025-02-08T08:00:00Z,135.5
2025-02-08T09:00:00Z,148.8
2025-02-08T10:00:00Z,158.37
2025-02-08T11:00:00Z,162.41
2025-02-08T12:00:00Z,129.95
2025-02-08T13:00:00Z,117.9
2025-02-08T14:00:00Z,118
2025-02-08T15:00:00Z,141.22
2025-02-08T16:00:00Z,150.49
2025-02-08T17:00:00Z,160.49
2025-02-08T18:00:00Z,165.98
2025-02-08T19:00:00Z,162.82
2025-02-08T20:00:00Z,149
2025-02-08T21:00:00Z,147.95
2025-02-08T22:00:00Z,143.29
2025-02-08T23:00:00Z,135
2025-02-09T00:00:00Z,136.41
2025-02-09T01:00:00Z,135.48
2025-02-09T02:00:00Z,119.3
2025-02-09T03:00:00Z,116.91
2025-02-09T04:00:00Z,117
2025-02-09T06:00:00Z,133.43
2025-02-09T07:00:00Z,136.77
2025-02-09T08:00:00Z,124.95
2025-02-09T09:00:00Z,124.3
2025-02-09T10:00:00Z,133
2025-02-09T11:00:00Z,148.08
2025-02-09T12:00:00Z,136.95
2025-02-09T13:00:00Z,109.9
2025-02-09T14:00:00Z,120.4
2025-02-09T15:00:00Z,142.3
2025-02-09T16:00:00Z,149.06
2025-02-09T17:00:00Z,162.45
2025-02-09T18:00:00Z,178.99
2025-02-09T19:00:00Z,156.98
2025-02-09T20:00:00Z,142.98
2025-02-09T21:00:00Z,143
2025-02-09T22:00:00Z,135.44
2025-02-09T23:00:00Z,128.56
2025-02-10T00:00:00Z,134.72
2025-02-10T01:00:00Z,131.35
2025-02-10T02:00:00Z,120.98
2025-02-10T03:00:00Z,120.83
2025-02-10T04:00:00Z,125.74
2025-02-10T05:00:00Z,145.51
2025-02-10T06:00:00Z,167.7
2025-02-10T07:00:00Z,181.36
2025-02-10T08:00:00Z,163.18
2025-02-10T09:00:00Z,169.01
2025-02-10T10:00:00Z,178.77
2025-02-10T11:00:00Z,171.84
2025-02-10T12:00:00Z,150.99
2025-02-10T13:00:00Z,127.4
2025-02-10T14:00:00Z,132.95
2025-02-10T15:00:00Z,135
2025-02-10T16:00:00Z,138.69
2025-02-10T17:00:00Z,177.31
2025-02-10T18:00:00Z,224.02
2025-02-10T19:00:00Z,203.75
2025-02-10T20:00:00Z,188.76
2025-02-10T21:00:00Z,186.58
2025-02-10T22:00:00Z,157.9
2025-02-10T23:00:00Z,143.19
2025-02-11T00:00:00Z,147.08
2025-02-11T01:00:00Z,135.6
2025-02-11T02:00:00Z,127.65
2025-02-11T03:00:00Z,119.66
2025-02-11T04:00:00Z,124.04
2025-02-11T05:00:00Z,128.11
2025-02-11T06:00:00Z,143.95
2025-02-11T07:00:00Z,159.06
2025-02-11T08:00:00Z,163.3
2025-02-11T09:00:00Z,196.82
2025-02-11T10:00:00Z,187.31
2025-02-11T11:00:00Z,170.98
2025-02-11T12:00:00Z,153.16
2025-02-11T13:00:00Z,137.66
2025-02-11T14:00:00Z,144.26
2025-02-11T15:00:00Z,145.16
2025-02-11T16:00:00Z,161.16
2025-02-11T17:00:00Z,173.95
2025-02-11T18:00:00Z,202.82
2025-02-11T19:00:00Z,175.98
2025-02-11T20:00:00Z,155.37
2025-02-11T21:00:00Z,146.67
2025-02-11T22:00:00Z,131.5
2025-02-11T23:00:00Z,130.55
2025-02-12T00:00:00Z,127.91
2025-02-12T01:00:00Z,126.82
2025-02-12T02:00:00Z,126.59
2025-02-12T03:00:00Z,128.74
2025-02-12T04:00:00Z,131.42
2025-02-12T05:00:00Z,150.15
2025-02-12T06:00:00Z,163.18
2025-02-12T07:00:00Z,180
2025-02-12T08:00:00Z,174.92
2025-02-12T09:00:00Z,163.36
2025-02-12T10:00:00Z,152.82
2025-02-12T11:00:00Z,141.8
2025-02-12T12:00:00Z,142.9
2025-02-12T13:00:00Z,150.08
2025-02-12T14:00:00Z,160.51
2025-02-12T15:00:00Z,172.07
2025-02-12T16:00:00Z,171.82
2025-02-12T17:00:00Z,198.34
2025-02-12T18:00:00Z,193.47
2025-02-12T19:00:00Z,175.64
2025-02-12T20:00:00Z,156.64
2025-02-12T21:00:00Z,151.08
2025-02-12T22:00:00Z,142.51
2025-02-12T23:00:00Z,137.41
2025-02-13T00:00:00Z,133.23
2025-02-13T01:00:00Z,138.44
2025-02-13T02:00:00Z,131.64
2025-02-13T03:00:00Z,132.88
2025-02-13T04:00:00Z,136.03
2025-02-13T05:00:00Z,143.26
2025-02-13T06:00:00Z,172.39
2025-02-13T07:00:00Z,206.31
2025-02-13T08:00:00Z,190.89
2025-02-13T09:00:00Z,192.36
2025-02-13T10:00:00Z,176.4
2025-02-13T11:00:00Z,166.48
2025-02-13T12:00:00Z,161.56
2025-02-13T13:00:00Z,159.9
2025-02-13T14:00:00Z,161.31
2025-02-13T15:00:00Z,156.85
2025-02-13T16:00:00Z,178.04
2025-02-13T17:00:00Z,194.6
2025-02-13T18:00:00Z,196.52
2025-02-13T19:00:00Z,177.07
2025-02-13T20:00:00Z,162.92
2025-02-13T21:00:00Z,153.12
2025-02-13T22:00:00Z,138.98
2025-02-13T23:00:00Z,136.27
2025-02-14T00:00:00Z,132.8
2025-02-14T01:00:00Z,127.47
2025-02-14T02:00:00Z,123.87
2025-02-14T03:00:00Z,125.38
2025-02-14T04:00:00Z,136.17
2025-02-14T05:00:00Z,151.24
2025-02-14T06:00:00Z,184.87
2025-02-14T07:00:00Z,218.54
2025-02-14T08:00:00Z,192.91
2025-02-14T09:00:00Z,172.37
2025-02-14T10:00:00Z,157.95
2025-02-14T11:00:00Z,148.47
2025-02-14T12:00:00Z,143.01
2025-02-14T13:00:00Z,147.06
2025-02-14T14:00:00Z,144.16
2025-02-14T15:00:00Z,162.94
2025-02-14T16:00:00Z,206.47
2025-02-14T17:00:00Z,225.44
2025-02-14T18:00:00Z,210.69
2025-02-14T19:00:00Z,183.55
2025-02-14T20:00:00Z,161.47
2025-02-14T21:00:00Z,153
2025-02-14T22:00:00Z,140.03
2025-02-14T23:00:00Z,131.52
2025-02-15T00:00:00Z,126.69
2025-02-15T01:00:00Z,117.42
2025-02-15T02:00:00Z,113.52
2025-02-15T03:00:00Z,113.01
2025-02-15T04:00:00Z,115.13
2025-02-15T05:00:00Z,126.84
2025-02-15T06:00:00Z,142.79
2025-02-15T07:00:00Z,142.89
2025-02-15T08:00:00Z,136.73
2025-02-15T09:00:00Z,124.59
2025-02-15T10:00:00Z,118.36
2025-02-15T11:00:00Z,112.39
2025-02-15T12:00:00Z,110.01
2025-02-15T13:00:00Z,113.74
2025-02-15T14:00:00Z,121.99
2025-02-15T15:00:00Z,136.01
2025-02-15T16:00:00Z,154.09
2025-02-15T17:00:00Z,167.48
2025-02-15T18:00:00Z,160.52
2025-02-15T19:00:00Z,138.15
2025-02-15T20:00:00Z,126.02
2025-02-15T21:00:00Z,131.16
2025-02-15T22:00:00Z,124.94
2025-02-15T23:00:00Z,134.11
2025-02-16T00:00:00Z,128.9
2025-02-16T01:00:00Z,123.57
2025-02-16T02:00:00Z,119.9
2025-02-16T03:00:00Z,119.57
2025-02-16T04:00:00Z,120.21
2025-02-16T05:00:00Z,120.1
2025-02-16T06:00:00Z,127.8
2025-02-16T07:00:00Z,129.71
2025-02-16T08:00:00Z,130.43
2025-02-16T09:00:00Z,123.81
2025-02-16T10:00:00Z,116.66
2025-02-16T11:00:00Z,121.02
2025-02-16T12:00:00Z,107.08
2025-02-16T13:00:00Z,107.89
2025-02-16T14:00:00Z,120.54
2025-02-16T15:00:00Z,129.51
2025-02-16T16:00:00Z,144.84
2025-02-16T17:00:00Z,160.99
2025-02-16T18:00:00Z,161.09
2025-02-16T19:00:00Z,154.25
2025-02-16T20:00:00Z,139.64
2025-02-16T21:00:00Z,137.69
2025-02-16T22:00:00Z,131.51
2025-02-16T23:00:00Z,128.07
2025-02-17T00:00:00Z,121.06
2025-02-17T01:00:00Z,120.34
2025-02-17T02:00:00Z,122.77
2025-02-17T03:00:00Z,125.3
2025-02-17T04:00:00Z,128.76
2025-02-17T05:00:00Z,148.8
2025-02-17T06:00:00Z,204.7
2025-02-17T07:00:00Z,209.79
2025-02-17T08:00:00Z,171.3
2025-02-17T09:00:00Z,139.67
2025-02-17T10:00:00Z,117.22
2025-02-17T11:00:00Z,109.67
2025-02-17T12:00:00Z,106.81
2025-02-17T13:00:00Z,111.89
2025-02-17T14:00:00Z,128.62
2025-02-17T15:00:00Z,143.09
2025-02-17T16:00:00Z,181.75
2025-02-17T17:00:00Z,235.44
2025-02-17T18:00:00Z,215.46
2025-02-17T19:00:00Z,177.95
2025-02-17T20:00:00Z,155.38
2025-02-17T21:00:00Z,139.51
2025-02-17T22:00:00Z,130
2025-02-17T23:00:00Z,133.1
2025-02-18T00:00:00Z,125.19
2025-02-18T01:00:00Z,123.73
2025-02-18T02:00:00Z,116.34
2025-02-18T03:00:00Z,114.78
2025-02-18T04:00:00Z,121.45
2025-02-18T05:00:00Z,132.29
2025-02-18T06:00:00Z,170.9
2025-02-18T07:00:00Z,193.8
2025-02-18T08:00:00Z,143.91
2025-02-18T09:00:00Z,125
2025-02-18T10:00:00Z,110.66
2025-02-18T11:00:00Z,100.26
2025-02-18T12:00:00Z,91.25
2025-02-18T13:00:00Z,100.29
2025-02-18T14:00:00Z,111.36
2025-02-18T15:00:00Z,126.12
2025-02-18T16:00:00Z,152.81
2025-02-18T17:00:00Z,169.68
2025-02-18T18:00:00Z,156.65
2025-02-18T19:00:00Z,142.66
2025-02-18T20:00:00Z,131.31
2025-02-18T21:00:00Z,122.56
2025-02-18T22:00:00Z,115.32
2025-02-18T23:00:00Z,105.48
2025-02-19T00:00:00Z,100.17
2025-02-19T01:00:00Z,100.21
2025-02-19T02:00:00Z,98.07
2025-02-19T03:00:00Z,95.15
2025-02-19T04:00:00Z,99.75
2025-02-19T05:00:00Z,116.76
2025-02-19T06:00:00Z,149.08
2025-02-19T07:00:00Z,166.96
2025-02-19T08:00:00Z,135.4
2025-02-19T09:00:00Z,118.72
2025-02-19T10:00:00Z,115.19
2025-02-19T11:00:00Z,118
2025-02-19T12:00:00Z,105.5
2025-02-19T13:00:00Z,102.84
2025-02-19T14:00:00Z,118.71
2025-02-19T15:00:00Z,115.1
2025-02-19T16:00:00Z,132.16
2025-02-19T17:00:00Z,147.77
2025-02-19T18:00:00Z,147.75
2025-02-19T19:00:00Z,124.22
2025-02-19T20:00:00Z,116.5
2025-02-19T21:00:00Z,116.91
2025-02-19T22:00:00Z,103.38
2025-02-19T23:00:00Z,88.8
2025-02-20T00:00:00Z,87.86
2025-02-20T01:00:00Z,87.3
2025-02-20T02:00:00Z,85.44
2025-02-20T03:00:00Z,83.94
2025-02-20T04:00:00Z,85.08
2025-02-20T05:00:00Z,92.9
2025-02-20T06:00:00Z,111.33
2025-02-20T07:00:00Z,130.43
2025-02-20T08:00:00Z,118
2025-02-20T09:00:00Z,99.39
2025-02-20T10:00:00Z,87.58
2025-02-20T11:00:00Z,87.39
2025-02-20T12:00:00Z,84.6
2025-02-20T13:00:00Z,85.08
2025-02-20T14:00:00Z,89.45
2025-02-20T15:00:00Z,95.82
2025-02-20T16:00:00Z,111.69
2025-02-20T17:00:00Z,119.92
2025-02-20T18:00:00Z,128.31
2025-02-20T19:00:00Z,115.42
2025-02-20T20:00:00Z,98.39
2025-02-20T21:00:00Z,94.82
2025-02-20T22:00:00Z,85.56
2025-02-20T23:00:00Z,74.68
2025-02-21T00:00:00Z,70.13
2025-02-21T01:00:00Z,73.05
2025-02-21T02:00:00Z,72.56
2025-02-21T03:00:00Z,69.02
2025-02-21T04:00:00Z,68.78
2025-02-21T05:00:00Z,72.43
2025-02-21T06:00:00Z,100.23
2025-02-21T07:00:00Z,103.33
2025-02-21T08:00:00Z,107.55
2025-02-21T09:00:00Z,88.39
2025-02-21T10:00:00Z,72.61
2025-02-21T11:00:00Z,66.85
2025-02-21T12:00:00Z,63.85
2025-02-21T13:00:00Z,63.63
2025-02-21T14:00:00Z,71.8
2025-02-21T15:00:00Z,88.2
2025-02-21T16:00:00Z,95.76
2025-02-21T17:00:00Z,101.1
2025-02-21T18:00:00Z,88.48
2025-02-21T19:00:00Z,84.09
2025-02-21T20:00:00Z,72.18
2025-02-21T21:00:00Z,71.5
2025-02-21T22:00:00Z,67.51
2025-02-21T23:00:00Z,55.52
2025-02-22T00:00:00Z,50.81
2025-02-22T01:00:00Z,49.24
2025-02-22T02:00:00Z,42.74
2025-02-22T03:00:00Z,41.39
2025-02-22T04:00:00Z,51.88
2025-02-22T05:00:00Z,56.08
2025-02-22T06:00:00Z,66.89
2025-02-22T07:00:00Z,71.3
2025-02-22T08:00:00Z,75.32
2025-02-22T09:00:00Z,70.04
2025-02-22T10:00:00Z,70.47
2025-02-22T11:00:00Z,69.22
2025-02-22T12:00:00Z,60.69
2025-02-22T13:00:00Z,67.13
2025-02-22T14:00:00Z,79.46
2025-02-22T15:00:00Z,92.85
2025-02-22T16:00:00Z,116.91
2025-02-22T17:00:00Z,126.41
2025-02-22T18:00:00Z,133.46
2025-02-22T19:00:00Z,125
2025-02-22T20:00:00Z,110.91
2025-02-22T21:00:00Z,109.5
2025-02-22T22:00:00Z,106.58
2025-02-22T23:00:00Z,100.69
2025-02-23T00:00:00Z,90.57
2025-02-23T01:00:00Z,87.59
2025-02-23T02:00:00Z,83.04
2025-02-23T03:00:00Z,83.56
2025-02-23T04:00:00Z,85.06
2025-02-23T05:00:00Z,86.01
2025-02-23T06:00:00Z,100.76
2025-02-23T07:00:00Z,102.59
2025-02-23T08:00:00Z,88.96
2025-02-23T09:00:00Z,73.47
2025-02-23T10:00:00Z,65.35
2025-02-23T11:00:00Z,57.56
