datetime,co2_g_per_kwh
2024-09-30T22:00:00Z,69.413
2024-09-30T23:00:00Z,62.81
2024-10-01T00:00:00Z,61.133
2024-10-01T01:00:00Z,59.314
2024-10-01T02:00:00Z,58.806
2024-10-01T03:00:00Z,62.535
2024-10-01T04:00:00Z,73.13
2024-10-01T05:00:00Z,82.448
2024-10-01T06:00:00Z,77.755
2024-10-01T07:00:00Z,79.1
2024-10-01T08:00:00Z,66.443
2024-10-01T09:00:00Z,68.735
2024-10-01T10:00:00Z,60.118
2024-10-01T11:00:00Z,59.235
2024-10-01T12:00:00Z,59.743
2024-10-01T13:00:00Z,69.846
2024-10-01T14:00:00Z,89.053
2024-10-01T15:00:00Z,122.59
2024-10-01T16:00:00Z,148.286
2024-10-01T17:00:00Z,161.262
2024-10-01T18:00:00Z,198.645
2024-10-01T19:00:00Z,193.33
2024-10-01T20:00:00Z,187.056
2024-10-01T21:00:00Z,187.31
2024-10-01T22:00:00Z,138.457
2024-10-01T23:00:00Z,131.868
2024-10-02T00:00:00Z,131.612
2024-10-02T01:00:00Z,124.362
2024-10-02T02:00:00Z,127.844
2024-10-02T03:00:00Z,141.703
2024-10-02T04:00:00Z,158.57
2024-10-02T05:00:00Z,185.113
2024-10-02T06:00:00Z,182.725
2024-10-02T07:00:00Z,155.258
2024-10-02T08:00:00Z,132.232
2024-10-02T09:00:00Z,101.009
2024-10-02T10:00:00Z,95.343
2024-10-02T11:00:00Z,102.114
2024-10-02T12:00:00Z,117.374
2024-10-02T13:00:00Z,120.556
2024-10-02T14:00:00Z,111.884
2024-10-02T15:00:00Z,138.468
2024-10-02T16:00:00Z,159.476
2024-10-02T17:00:00Z,178.691
2024-10-02T18:00:00Z,187.303
2024-10-02T19:00:00Z,163.95
2024-10-02T20:00:00Z,151.342
2024-10-02T21:00:00Z,124.107
2024-10-02T22:00:00Z,90.506
2024-10-02T23:00:00Z,81.592
2024-10-03T00:00:00Z,76.755
2024-10-03T01:00:00Z,78.862
2024-10-03T02:00:00Z,78.312
2024-10-03T03:00:00Z,86.307
2024-10-03T04:00:00Z,104.058
2024-10-03T05:00:00Z,128.595
2024-10-03T06:00:00Z,127.795
2024-10-03T07:00:00Z,116.572
2024-10-03T08:00:00Z,81.85
2024-10-03T09:00:00Z,77.871
2024-10-03T10:00:00Z,73.644
2024-10-03T11:00:00Z,69.159
