datetime,co2_g_per_kwh
2025-01-01T00:00:00Z,52.82
2025-01-01T01:00:00Z,0
2025-01-01T02:00:00Z,41.93
2025-01-01T03:00:00Z,39.596
2025-01-01T04:00:00Z,39.131
2025-01-01T05:00:00Z,39.373
2025-01-01T06:00:00Z,49.28
2025-01-01T07:00:00Z,51.679
2025-01-01T08:00:00Z,50.214
2025-01-01T09:00:00Z,49.801
2025-01-01T10:00:00Z,49.816
2025-01-01T11:00:00Z,48.911
2025-01-01T12:00:00Z,47.545
2025-01-01T13:00:00Z,47.966
2025-01-01T14:00:00Z,53.199
2025-01-01T15:00:00Z,55.196
2025-01-01T16:00:00Z,57.082
2025-01-01T17:00:00Z,61.209
2025-01-01T18:00:00Z,70.53
2025-01-01T19:00:00Z,64.901
2025-01-01T20:00:00Z,64.244
2025-01-01T21:00:00Z,73.504
2025-01-01T22:00:00Z,80.141
2025-01-01T23:00:00Z,96.604
2025-01-02T00:00:00Z,112.014
2025-01-02T01:00:00Z,117.682
2025-01-02T02:00:00Z,116.176
2025-01-02T03:00:00Z,115.532
2025-01-02T04:00:00Z,128.337
2025-01-02T05:00:00Z,153.714
2025-01-02T06:00:00Z,169.497
2025-01-02T07:00:00Z,141.948
2025-01-02T08:00:00Z,167.117
2025-01-02T09:00:00Z,178.164
2025-01-02T10:00:00Z,167.389
2025-01-02T11:00:00Z,159.546
2025-01-02T12:00:00Z,160.354
2025-01-02T13:00:00Z,147.366
2025-01-02T14:00:00Z,129.887
2025-01-02T15:00:00Z,122.561
2025-01-02T16:00:00Z,164.116
2025-01-02T17:00:00Z,183.418
2025-01-02T18:00:00Z,187.158
2025-01-02T19:00:00Z,193.355
2025-01-02T20:00:00Z,184.919
2025-01-02T21:00:00Z,190.226
2025-01-02T22:00:00Z,193.175
2025-01-02T23:00:00Z,165.052
2025-01-03T00:00:00Z,157.959
2025-01-03T01:00:00Z,151.41
2025-01-03T02:00:00Z,132.152
2025-01-03T03:00:00Z,118.923
2025-01-03T04:00:00Z,118.409
2025-01-03T05:00:00Z,119.647
2025-01-03T06:00:00Z,121.194
2025-01-03T07:00:00Z,137.911
2025-01-03T08:00:00Z,132.956
2025-01-03T09:00:00Z,119.615
2025-01-03T10:00:00Z,98.135
2025-01-03T11:00:00Z,93.596
2025-01-03T12:00:00Z,108.164
2025-01-03T13:00:00Z,135.393
2025-01-03T14:00:00Z,161.03
2025-01-03T15:00:00Z,175.065
2025-01-03T16:00:00Z,189.11
2025-01-03T17:00:00Z,199.523
2025-01-03T18:00:00Z,206.251
2025-01-03T19:00:00Z,211.117
2025-01-03T20:00:00Z,223.963
2025-01-03T21:00:00Z,219.05
2025-01-03T22:00:00Z,211.49
2025-01-03T23:00:00Z,207.818
2025-01-04T00:00:00Z,210.056
2025-01-04T01:00:00Z,219.983
2025-01-04T02:00:00Z,197.658
2025-01-04T03:00:00Z,183.051
2025-01-04T04:00:00Z,172.134
2025-01-04T05:00:00Z,193.266
2025-01-04T06:00:00Z,184.21
2025-01-04T07:00:00Z,181.762
2025-01-04T08:00:00Z,197.013
2025-01-04T09:00:00Z,207.134
2025-01-04T10:00:00Z,193.381
2025-01-04T11:00:00Z,188.833
2025-01-04T12:00:00Z,190.916
2025-01-04T13:00:00Z,169.573
2025-01-04T14:00:00Z,141.966
2025-01-04T15:00:00Z,126.984
2025-01-04T16:00:00Z,120.827
2025-01-04T17:00:00Z,113.479
2025-01-04T18:00:00Z,134.092
2025-01-04T19:00:00Z,139.676
2025-01-04T20:00:00Z,139.676
2025-01-04T21:00:00Z,84.65
2025-01-04T22:00:00Z,97.724
2025-01-04T23:00:00Z,63.294
2025-01-05T00:00:00Z,52.83
2025-01-05T01:00:00Z,73.014
2025-01-05T02:00:00Z,74.546
2025-01-05T03:00:00Z,63.687
2025-01-05T04:00:00Z,61.846
2025-01-05T05:00:00Z,55.676
2025-01-05T06:00:00Z,52.822
2025-01-05T07:00:00Z,58.712
2025-01-05T08:00:00Z,66.915
2025-01-05T09:00:00Z,72.42
2025-01-05T10:00:00Z,39.125
2025-01-05T11:00:00Z,34.168
2025-01-05T12:00:00Z,29.605
2025-01-05T13:00:00Z,31.871
2025-01-05T14:00:00Z,32.137
2025-01-05T15:00:00Z,34.236
2025-01-05T16:00:00Z,34.726
2025-01-05T17:00:00Z,36.805
2025-01-05T18:00:00Z,38.368
2025-01-05T19:00:00Z,38.38
2025-01-05T20:00:00Z,39.64
2025-01-05T21:00:00Z,40.223
2025-01-05T22:00:00Z,41.218
2025-01-05T23:00:00Z,41.263
2025-01-06T00:00:00Z,42.87
2025-01-06T01:00:00Z,42.37
2025-01-06T02:00:00Z,43.756
