datetime,measured_mw,monitoredcapacity_mw,loadfactor
2025-01-01T00:00:00Z,0,367.378,0
2025-01-01T00:15:00Z,0,367.378,0
2025-01-01T00:30:00Z,0,367.378,0
2025-01-01T00:45:00Z,0,367.378,0
2025-01-01T01:00:00Z,0,367.378,0
2025-01-01T01:15:00Z,0,367.378,0
2025-01-01T01:30:00Z,0,367.378,0
2025-01-01T01:45:00Z,0,367.378,0
2025-01-01T02:00:00Z,0,367.378,0
2025-01-01T02:15:00Z,0,367.378,0
2025-01-01T02:30:00Z,0,367.378,0
2025-01-01T02:45:00Z,0,367.378,0
2025-01-01T03:00:00Z,0,367.378,0
2025-01-01T03:15:00Z,0,367.378,0
2025-01-01T03:30:00Z,0,367.378,0
2025-01-01T03:45:00Z,0,367.378,0
2025-01-01T04:00:00Z,0,367.378,0
2025-01-01T04:15:00Z,0,367.378,0
2025-01-01T04:30:00Z,0,367.378,0
2025-01-01T04:45:00Z,0,367.378,0
2025-01-01T05:00:00Z,0,367.378,0
2025-01-01T05:15:00Z,0,367.378,0
2025-01-01T05:30:00Z,0,367.378,0
2025-01-01T05:45:00Z,0,367.378,0
2025-01-01T06:00:00Z,0,367.378,0
2025-01-01T06:15:00Z,0,367.378,0
2025-01-01T06:30:00Z,0,367.378,0
2025-01-01T06:45:00Z,0,367.378,0
2025-01-01T07:00:00Z,0,367.378,0
2025-01-01T07:15:00Z,0,367.378,0
2025-01-01T07:30:00Z,0,367.378,0
2025-01-01T07:45:00Z,0.004,367.378,0.001
2025-01-01T08:00:00Z,0.953,367.378,0.259
2025-01-01T08:15:00Z,2.933,367.378,0.798
2025-01-01T08:30:00Z,5.062,367.378,1.378
2025-01-01T08:45:00Z,6.706,367.378,1.825
2025-01-01T09:00:00Z,7.63,367.378,2.077
2025-01-01T09:15:00Z,7.836,367.378,2.133
2025-01-01T09:30:00Z,7.724,367.378,2.102
2025-01-01T09:45:00Z,7.509,367.378,2.044
2025-01-01T10:00:00Z,7.812,367.378,2.126
2025-01-01T10:15:00Z,8.241,367.378,2.243
2025-01-01T10:30:00Z,8.414,367.378,2.29
2025-01-01T10:45:00Z,8.277,367.378,2.253
2025-01-01T11:00:00Z,8.307,367.378,2.261
2025-01-01T11:15:00Z,8.367,367.378,2.277
2025-01-01T11:30:00Z,8.625,367.378,2.348
