datetime,price_eur_mwh
2023-12-31T23:00:00Z,0.1
2024-01-01T00:00:00Z,0.01
2024-01-01T01:00:00Z,0
2024-01-01T02:00:00Z,-0.01
2024-01-01T03:00:00Z,-0.03
2024-01-01T04:00:00Z,-0.02
2024-01-01T05:00:00Z,-0.05
2024-01-01T06:00:00Z,-0.02
2024-01-01T07:00:00Z,0
2024-01-01T08:00:00Z,0.04
2024-01-01T09:00:00Z,0.06
2024-01-01T10:00:00Z,0.54
2024-01-01T11:00:00Z,2.24
2024-01-01T12:00:00Z,2
2024-01-01T13:00:00Z,1.35
2024-01-01T14:00:00Z,4.13
2024-01-01T15:00:00Z,27.96
2024-01-01T16:00:00Z,50.37
2024-01-01T17:00:00Z,53.76
2024-01-01T18:00:00Z,56.77
2024-01-01T19:00:00Z,51.4
2024-01-01T20:00:00Z,35.39
2024-01-01T21:00:00Z,40.74
2024-01-01T22:00:00Z,35.55
2024-01-01T23:00:00Z,23.92
2024-01-02T00:00:00Z,17.7
2024-01-02T01:00:00Z,12.39
2024-01-02T02:00:00Z,7.35
2024-01-02T03:00:00Z,4.19
2024-01-02T04:00:00Z,4.75
2024-01-02T05:00:00Z,31.59
2024-01-02T06:00:00Z,49.96
2024-01-02T07:00:00Z,58.46
2024-01-02T08:00:00Z,59.05
2024-01-02T09:00:00Z,68.65
2024-01-02T10:00:00Z,74.18
2024-01-02T11:00:00Z,65.02
2024-01-02T12:00:00Z,64.71
2024-01-02T13:00:00Z,66.74
2024-01-02T14:00:00Z,64.43
2024-01-02T15:00:00Z,65.04
2024-01-02T16:00:00Z,73.85
2024-01-02T17:00:00Z,66.62
2024-01-02T18:00:00Z,64.36
2024-01-02T19:00:00Z,60
2024-01-02T20:00:00Z,49.5
2024-01-02T21:00:00Z,44.19
2024-01-02T22:00:00Z,26.83
2024-01-02T23:00:00Z,0
2024-01-03T00:00:00Z,-1.23
2024-01-03T01:00:00Z,-1.26
2024-01-03T02:00:00Z,-1.31
2024-01-03T03:00:00Z,-1.39
2024-01-03T04:00:00Z,-1.26
2024-01-03T05:00:00Z,2.58
2024-01-03T06:00:00Z,40.8
2024-01-03T07:00:00Z,62.56
2024-01-03T08:00:00Z,67.39
2024-01-03T09:00:00Z,62.92
2024-01-03T10:00:00Z,58.84
2024-01-03T11:00:00Z,55.94
2024-01-03T12:00:00Z,56.18
2024-01-03T13:00:00Z,60.91
2024-01-03T14:00:00Z,68.72
2024-01-03T15:00:00Z,71.56
2024-01-03T16:00:00Z,85.72
2024-01-03T17:00:00Z,92.38
2024-01-03T18:00:00Z,86.07
2024-01-03T19:00:00Z,73.23
2024-01-03T20:00:00Z,67.41
2024-01-03T21:00:00Z,65
2024-01-03T22:00:00Z,58.12
2024-01-03T23:00:00Z,57.3
2024-01-04T00:00:00Z,50.46
2024-01-04T01:00:00Z,40
2024-01-04T02:00:00Z,25.48
2024-01-04T03:00:00Z,35
2024-01-04T04:00:00Z,57.73
2024-01-04T05:00:00Z,72.65
2024-01-04T06:00:00Z,85.02
2024-01-04T07:00:00Z,91.47
2024-01-04T08:00:00Z,94.2
2024-01-04T09:00:00Z,91.59
2024-01-04T10:00:00Z,90
2024-01-04T11:00:00Z,86.26
2024-01-04T12:00:00Z,85.96
