timestamp,pv_yield_kwh,consumption_kwh,feedin_kwh
2025-12-04T23:00:00Z,274.11,NA,NA
2025-12-05T23:00:00Z,127.99,NA,NA
2025-12-06T23:00:00Z,66.99,NA,NA
2025-12-07T23:00:00Z,87.12,NA,NA
2025-12-08T23:00:00Z,296.81,NA,NA
2025-12-09T23:00:00Z,163.09,NA,NA
2025-12-10T23:00:00Z,185.57,NA,NA
2025-12-11T23:00:00Z,83.54,NA,NA
2025-12-12T23:00:00Z,92.12,NA,NA
2025-12-13T23:00:00Z,117.71,NA,NA
2025-12-14T23:00:00Z,253.17,NA,NA
2025-12-15T23:00:00Z,127.09,NA,NA
2025-12-16T23:00:00Z,130.88,NA,NA
2025-12-17T23:00:00Z,241.77,NA,NA
2025-12-18T23:00:00Z,174.57,NA,NA
2025-12-19T23:00:00Z,94.76,NA,NA
2025-12-20T23:00:00Z,182.18,NA,NA
2025-12-21T23:00:00Z,252.24,NA,NA
2025-12-22T23:00:00Z,63.57,NA,NA
2025-12-23T23:00:00Z,298.73,NA,NA
2025-12-24T23:00:00Z,298.96,NA,NA
2025-12-25T23:00:00Z,277.32,NA,NA
2025-12-26T23:00:00Z,303.67,NA,NA
2025-12-27T23:00:00Z,291.38,NA,NA
2025-12-28T23:00:00Z,105.59,NA,NA
2025-12-29T23:00:00Z,317,NA,NA
2025-12-30T23:00:00Z,158.7,NA,NA
